# title | kind | lane | forms (;) | meaning | hindi | urdu | roman urdu | in use (from the chapter) | source
# lanes: nouns verbs describing phrases   kinds: word phrase idiom
# ── Class 9 · Beehive ───────────────────────────────────────────────────
Catastrophic|word|describing|catastrophe|Disastrous on a huge scale.|विनाशकारी|تباہ کن|Tabah-kun|Deforestation is proceeding at a catastrophic rate — forty to fifty million acres a year.|NCERT Hornbill — The Ailing Planet
Hollow|word|describing|hollowness|Empty inside; also insincere.|खोखला|کھوکھلا|Khokhla|Taplow finds Crocker-Harris's manner hollow — "hardly human".|NCERT Hornbill — The Browning Version
Sadist|word|nouns|sadistic|Someone who enjoys causing others pain.|दूसरों को कष्ट देकर आनंद लेने वाला|دوسروں کو تکلیف دے کر لطف لینے والا|Aziyat-pasand|"He's not a sadist, he's just hardly human," Taplow says of his teacher.|NCERT Hornbill — The Browning Version
Individuality|word|nouns|individual|The quality that makes one person distinct from others.|व्यक्तित्व|انفرادیت|Infiradiyat|Childhood ends, the poet decides, when you find your individuality.|NCERT Hornbill — Childhood (poem)
Hypocrisy|word|nouns|hypocrite;hypocritical|Claiming to have beliefs you do not act on.|पाखंड|منافقت|Munafiqat|Adults preach love yet do not act lovingly — the child notices hypocrisy.|NCERT Hornbill — Childhood (poem)
Prodigal|word|nouns|prodigal|A wasteful person; the son who leaves and returns (biblical).|उड़ाऊ, लौटा हुआ बेटा|فضول خرچ|Fuzool-kharch|"I would have him prodigal, returning to his father's house" — Father to Son.|NCERT Hornbill — Father to Son (poem)
Nomad|word|nouns|nomads;nomadic|A person who moves from place to place with no fixed home.|घुमंतू|خانہ بدوش|Khana-badosh|On the Silk Road the nomads' tents dot the pastures as Vikram Seth climbs towards Mount Kailash.|NCERT Hornbill — Silk Road
Pilgrimage|word|nouns|pilgrim;pilgrimages|A journey to a sacred place.|तीर्थयात्रा|زیارت|Ziyarat|Seth's kora around Kailash is a pilgrimage, and he wants the paperwork before he starts.|NCERT Hornbill — Silk Road
Cardboard|word|nouns||Thick, stiff paper; used in the poem for a photograph's mount.|गत्ता|گتا|Gatta|"The cardboard shows me how it was" — the photograph of the mother as a girl.|NCERT Hornbill — A Photograph (poem)
Transient|word|describing|transience|Passing quickly; not lasting.|क्षणभंगुर|عارضی|Aarzi|The sea, which changed less, and the transient feet of the girls on the sand.|NCERT Hornbill — A Photograph (poem)
Laburnum|word|nouns||A small tree with hanging clusters of yellow flowers.|लैबर्नम (पीले फूलों वाला वृक्ष)|لابرنم|Laburnum|"The Laburnum top is silent, quite still" — until the goldfinch arrives.|NCERT Hornbill — The Laburnum Top (poem)
# ── Class 11 · Snapshots ─────────────────────────────────────────────────
Lunatic|word|nouns|lunacy|A mad or wildly foolish person.|पागल|پاگل|Pagal|"He was crazy… every branch of the family had a crazy streak" — Mourad was the family's lunatic.|NCERT Snapshots — The Summer of the Beautiful White Horse
Hoof|word|nouns|hooves|The hard part of a horse's foot.|खुर|سُم|Sum|The white horse's hooves on the road at dawn — Aram thought he was dreaming.|NCERT Snapshots — The Summer of the Beautiful White Horse
Furtive|word|describing|furtively|Secretive; trying not to be noticed.|चोरी-छिपे|چوری چھپے|Chori-chhupe|The boys rode furtively at dawn so no one would see the stolen horse.|NCERT Snapshots — The Summer of the Beautiful White Horse
Resign|word|verbs|resigned;resignation|To accept something unpleasant as unavoidable.|समर्पण करना, स्वीकार कर लेना|قبول کر لینا|Qubool kar lena|The narrator resigned herself to never seeing her mother's belongings again — then found them in a stranger's house.|NCERT Snapshots — The Address
Bragging|word|verbs|brag;bragged|Boasting; talking with too much pride about yourself.|शेखी बघारना|شیخی بگھارنا|Sheikhi bagharna|Ranga's father did not go bragging about his son's return, but half the village came anyway.|NCERT Snapshots — Ranga's Marriage
Astrologer|word|nouns|astrology|A person who claims to read fortunes in the stars.|ज्योतिषी|نجومی|Najoomi|The narrator arranged for the astrologer to "discover" Ratna's name in the stars.|NCERT Snapshots — Ranga's Marriage
Anxiety|word|nouns|anxious;anxieties|Worry or nervousness.|चिंता|بے چینی|Be-chaini|Einstein's anxiety at school — a place he called a hateful "prison".|NCERT Snapshots — Albert Einstein at School
Diploma|word|nouns|diplomas|A certificate showing a course has been completed.|डिप्लोमा|ڈپلومہ|Diploma|Einstein left school without a diploma, with a medical certificate that said he needed rest.|NCERT Snapshots — Albert Einstein at School
Docility|word|nouns|docile|Quiet readiness to obey.|आज्ञाकारिता|فرمانبرداری|Farmanbardari|Mrs Pearson's docility is what her family exploit — until Mrs Fitzgerald swaps bodies with her.|NCERT Snapshots — Mother's Day
Wheedle|word|verbs|wheedled;wheedling|To persuade someone with flattery or coaxing.|फुसलाना|پھسلانا|Phuslana|Doris tries to wheedle her mother into ironing her dress — and meets a new mother.|NCERT Snapshots — Mother's Day
Stillborn|word|describing||Born dead.|मृतजात|مردہ پیدا شدہ|Murda paida-shuda|The baby was stillborn — and then, after the doctor's effort, it breathed.|NCERT Snapshots — Birth
Vigour|word|nouns|vigorous|Physical strength and energy.|ओज, शक्ति|توانائی|Tawanai|The doctor rubbed the child with vigour until it began to breathe.|NCERT Snapshots — Birth
Gallows|word|nouns||A frame used for hanging criminals.|फाँसी का तख़्ता|پھانسی گھاٹ|Phansi ghaat|In Melon City the gallows was built — and only the king's neck fitted the noose.|NCERT Snapshots — The Tale of Melon City
Placid|word|describing|placidly|Calm and peaceful; not easily upset.|शांत|پرسکون|Pur-sukoon|The king of Melon City was "just and placid" — and then he was hanged by his own law.|NCERT Snapshots — The Tale of Melon City
# ── Class 12 · Flamingo ──────────────────────────────────────────────────
Bulletin|word|nouns|bulletins|A short official announcement or report.|बुलेटिन, सूचना पत्र|اعلان|Elaan|The bulletin board had carried bad news for two years — lost battles, orders from Berlin.|NCERT Flamingo — The Last Lesson
Primer|word|nouns|primers|A first book for learning to read.|प्रारंभिक पाठ्यपुस्तक|ابتدائی کتاب|Ibtidai kitab|Old Hauser held his primer, spelling out the letters with the children.|NCERT Flamingo — The Last Lesson
Scavenge|word|verbs|scavenging;scavenger|To search through waste for anything usable.|कूड़ा बीनना|کوڑا چننا|Koora chunna|Saheb scavenges the garbage dumps of Seemapuri for something that might be gold.|NCERT Flamingo — Lost Spring
Perpetual|word|describing|perpetually|Never ending or changing.|निरंतर|دائمی|Daimi|The bangle makers of Firozabad are trapped in a perpetual cycle of poverty and middlemen.|NCERT Flamingo — Lost Spring
Stigma|word|nouns|stigmatised|A mark of disgrace attached to a person or thing.|कलंक|بدنامی کا داغ|Badnami ka daagh|Poverty carries a stigma in Firozabad; the bangle makers do not dare organise.|NCERT Flamingo — Lost Spring
Aversion|word|nouns|averse|A strong dislike.|घृणा|نفرت|Nafrat|Douglas's aversion to water began in the surf at Yakima, and grew at the YMCA pool.|NCERT Flamingo — Deep Water
Treacherous|word|describing|treachery|Dangerous while appearing safe; also disloyal.|कपटी, ख़तरनाक|دغاباز، خطرناک|Dagha-baaz|The pool looked safe but was treacherous for a boy who could not swim.|NCERT Flamingo — Deep Water
Terror|word|nouns|terrified;terrorise|Extreme fear.|आतंक, भय|دہشت|Dehshat|"The terror that had chased me ceased to be a shadow" — Douglas after he learned to swim.|NCERT Flamingo — Deep Water
Vagabond|word|nouns|vagabonds|A person with no home who wanders from place to place.|आवारा|آوارہ|Awara|The rattrap peddler was a vagabond who saw the world as a great rattrap.|NCERT Flamingo — The Rattrap
Ironmaster|word|nouns||The owner or manager of an ironworks.|लोहे के कारखाने का मालिक|لوہے کے کارخانے کا مالک|Karkhane ka malik|The ironmaster mistook the peddler for an old army comrade and took him home.|NCERT Flamingo — The Rattrap
Sharecropper|word|nouns|sharecroppers;sharecropping|A farmer who works land owned by another and gives part of the crop as rent.|बटाईदार|بٹائی دار|Batai-daar|The sharecroppers of Champaran had to grow indigo on fifteen percent of their land.|NCERT Flamingo — Indigo
Indigo|word|nouns||A dark blue dye, and the plant it comes from.|नील|نیل|Neel|Gandhi's Champaran campaign began with the sharecroppers forced to grow indigo.|NCERT Flamingo — Indigo
Pancake|word|nouns|pancakes|A thin, flat cake fried in a pan — in the chapter, the brand of make-up at Gemini Studios.|पैनकेक (एक तरह का मेकअप)|پین کیک|Pancake|"Pancake" was the make-up that turned every decent-looking actor into a hideous crimson hue.|NCERT Flamingo — Poets and Pancakes
Averse|word|describing|aversion|Strongly disliking or opposed to.|विमुख|بیزار|Bezaar|Gemini Studios' boss was averse to Communism — and welcomed the Moral Re-Armament army.|NCERT Flamingo — Poets and Pancakes
Cruelty|word|nouns|cruel|Behaviour that deliberately causes pain.|क्रूरता|ظلم|Zulm|Some celebrities call the interview a form of cruelty, an unwarranted intrusion.|NCERT Flamingo — The Interview
Chivalry|word|nouns|chivalrous|Courteous, gallant behaviour, especially by men towards women.|शौर्य, शिष्टता|جوانمردی|Jawan-mardi|Sophie's daydream of Danny Casey has a touch of chivalry — he asks her to walk with him.|NCERT Flamingo — Going Places
Pangs|word|nouns|pang|Sudden sharp feelings of pain or emotion.|टीस|ٹیس|Tees|The poet felt the old familiar pangs of fear at her mother's ashen face.|NCERT Flamingo — My Mother at Sixty-six (poem)
Wistful|word|describing|wistfully|Sadly longing, with quiet regret.|उदास लालसा भरा|حسرت بھرا|Hasrat-bhara|"A Roadside Stand" — the wistful faces waiting for a car that will stop.|NCERT Flamingo — A Roadside Stand (poem)
Prance|word|verbs|pranced;prancing|To move with high, springing steps.|उछल-कूद करना|اچھلنا کودنا|Uchhalna koodna|Aunt Jennifer's tigers "prance across a screen", unafraid of the men beneath the tree.|NCERT Flamingo — Aunt Jennifer's Tigers (poem)
Sheen|word|nouns||A soft shine on a surface.|चमक|چمک|Chamak|"A thing of beauty is a joy forever… bright with a sheen of daffodils" — Keats.|NCERT Flamingo — A Thing of Beauty (poem)
# ── Class 12 · Vistas ────────────────────────────────────────────────────
Refuge|word|nouns|refugee;refuges|A place of safety from danger or trouble.|शरण|پناہ|Panah|The third level at Grand Central is Charley's refuge from a modern world "full of insecurity".|NCERT Vistas — The Third Level
Philately|word|nouns|philatelist|The collecting and study of postage stamps.|डाक टिकट संग्रह|ٹکٹ جمع کرنے کا شوق|Ticket jama karne ka shauq|Sam's letter turns up in Charley's first-day-cover collection — his philately hobby.|NCERT Vistas — The Third Level
Astrologer|word|nouns||A reader of the stars who foretells the future.|ज्योतिषी|نجومی|Najoomi|The astrologer told the Tiger King his death would come from the hundredth tiger.|NCERT Vistas — The Tiger King
Dewan|word|nouns||A chief minister of an Indian princely state.|दीवान|دیوان|Dewan|The dewan had a tiger brought from the People's Park in Madras to keep his job.|NCERT Vistas — The Tiger King
Continent|word|nouns|continents|One of the earth's great landmasses.|महाद्वीप|بر اعظم|Bar-e-azam|Antarctica is the only continent with no human population, and holds most of the world's ice.|NCERT Vistas — Journey to the End of the Earth
Gondwana|word|nouns||The ancient southern supercontinent that broke into today's continents.|गोंडवाना|گونڈوانا|Gondwana|Six hundred and fifty million years ago, Gondwana held India and Antarctica together.|NCERT Vistas — Journey to the End of the Earth
Prisoner|word|nouns|prisoners;imprison|A person held captive.|कैदी|قیدی|Qaidi|The American, a prisoner of war washed up on the beach, made Sadao a traitor in law and a doctor in conscience.|NCERT Vistas — The Enemy
Sentimental|word|describing|sentiment|Governed by tender feelings rather than reason.|भावुक|جذباتی|Jazbati|The General says he is not sentimental — but he has forgotten to send the assassins.|NCERT Vistas — The Enemy
Repulsive|word|describing||Causing disgust.|घिनौना|گھناؤنا|Ghinauna|Derry fears his burnt face is repulsive; Mr Lamb refuses to look at it that way.|NCERT Vistas — On the Face of It
Crab-apple|word|nouns|crab apples|A small, sour wild apple.|जंगली सेब|جنگلی سیب|Jangli seb|Mr Lamb makes jelly from the crab-apples in his garden.|NCERT Vistas — On the Face of It
Untouchable|word|nouns|untouchability|A person of a caste once treated as impure — the caste system's cruelty.|अछूत|اچھوت|Achhoot|Bama sees an elder carry a packet by its string so the food is not "polluted" — untouchability.|NCERT Vistas — Memories of Childhood
Boarding school|phrase|phrases|boarding schools|A school where pupils live during term.|आवासीय विद्यालय|بورڈنگ اسکول|Boarding school|Zitkala-Sa's boarding school cut her hair — the shingling of a "coward's" hair, in her people's eyes.|NCERT Vistas — Memories of Childhood
# ── Phrases and idioms met across the readers ────────────────────────────
Bear in mind|idiom|phrases|bearing in mind;bore in mind|To remember and take into account.|ध्यान में रखना|ذہن میں رکھنا|Zehan mein rakhna|Bear in mind what the postmaster did: he answered a letter addressed to God.|NCERT — general usage across readers
By and large|idiom|phrases||On the whole; generally.|कुल मिलाकर|مجموعی طور پر|Majmooi taur par|By and large, the villagers of Champaran had never seen a lawyer take their side.|NCERT Flamingo — Indigo
Once in a blue moon|idiom|phrases||Very rarely.|कभी-कभार|شاذ و نادر|Shaz-o-nadir|Once in a blue moon a car stopped at the roadside stand.|NCERT Flamingo — A Roadside Stand (poem)
Turn a deaf ear|idiom|phrases|turned a deaf ear|To refuse to listen.|अनसुना करना|ان سنا کرنا|An-suna karna|The landlords turned a deaf ear to the sharecroppers until Gandhi came.|NCERT Flamingo — Indigo
Rack one's brains|idiom|phrases|racked his brains;racking her brains|To think very hard to remember or solve something.|दिमाग़ खपाना|دماغ کھپانا|Dimagh khapana|Horace racked his brains for the name of the lady in red — too late.|NCERT Footprints — A Question of Trust
Keep body and soul together|idiom|phrases||To earn just enough to stay alive.|जीवित रहने भर कमाना|جینے بھر کمانا|Jeene bhar kamana|The rattrap peddler kept body and soul together by begging and small thefts.|NCERT Flamingo — The Rattrap
